what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1268316533311
started,bundle,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.ide",1268316533327
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1268316533328
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1268316533337
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1268316533349
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1268316533362
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1268316533373
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1268316533381
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1268316533382
os,sysinfo,,,"linux",1268316533389
arch,sysinfo,,,"x86",1268316533389
ws,sysinfo,,,"gtk",1268316533389
locale,sysinfo,,,"en_US",1268316533389
processors,sysinfo,,,"2",1268316533390
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1268316533390
java.runtime.version,sysinfo,,,"1.6.0_18-b07",1268316533390
java.specification.name,sysinfo,,,"Java Platform API Specification",1268316533390
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1268316533390
java.specification.version,sysinfo,,,"1.6",1268316533390
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1268316533390
java.version,sysinfo,,,"1.6.0_18",1268316533390
java.vm.info,sysinfo,,,"mixed mode, sharing",1268316533390
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1268316533390
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1268316533390
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1268316533390
java.vm.specification.version,sysinfo,,,"1.0",1268316533390
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1268316533390
java.vm.version,sysinfo,,,"16.0-b13",1268316533390
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1268316534821
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1268316552635
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1268316552699
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1268316601233
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1268316606436
started,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1268316621729
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1268316635214
activated,view,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui.views.AntView",1268316640360
